,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,2.0,-3.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,-2.0,0.0,-5.0,0.0,0.0,0.0,1.0,-1.0,0.0,2.0
1,0.0,0.0,0.0,-3.0,0.0,2.0,0.0,-2.0,0.0,-1.0,-2.0,0.0,-2.0,-1.0,1.0,0.0,1.0,2.0,-4.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,-2.0,3.0,1.0,-1.0
2,0.0,2.0,-1.0,0.0,-1.0,-2.0,0.0,0.0,0.0,-2.0,0.0,2.0,0.0,-2.0,1.0,1.0,2.0,0.0,2.0,1.0,4.0,0.0,0.0,1.0,-1.0,1.0,-2.0,0.0,-1.0,0.0
3,0.0,-1.0,-1.0,-1.0,2.0,0.0,-2.0,0.0,-3.0,0.0,1.0,0.0,-1.0,-2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,-3.0,0.0,1.0,0.0,-1.0,-2.0,1.0,-3.0,2.0
4,-2.0,3.0,2.0,-1.0,2.0,-4.0,-1.0,1.0,-2.0,1.0,-1.0,-1.0,-2.0,0.0,-4.0,-1.0,0.0,-1.0,0.0,1.0,2.0,-4.0,-2.0,1.0,1.0,1.0,-1.0,-2.0,-1.0,1.0
5,1.0,3.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,-1.0,0.0,0.0,-2.0,-1.0,0.0,0.0,-1.0,0.0,-2.0,0.0,-2.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,1.0
6,0.0,-1.0,-2.0,0.0,1.0,1.0,-5.0,2.0,0.0,1.0,2.0,-1.0,3.0,-2.0,-2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,-1.0,0.0,0.0,-1.0,2.0,1.0,0.0
7,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,-3.0,0.0,-6.0,0.0,1.0,-1.0,3.0,0.0,-3.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0
8,0.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,4.0,1.0,-1.0,0.0,2.0,1.0,0.0,0.0,6.0,-2.0,-1.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,-3.0,-1.0,1.0,0.0,-2.0
9,0.0,1.0,4.0,1.0,1.0,0.0,1.0,3.0,-2.0,2.0,-2.0,0.0,-1.0,2.0,-1.0,2.0,0.0,3.0,0.0,-1.0,3.0,1.0,2.0,2.0,0.0,1.0,-1.0,0.0,-1.0,2.0
10,1.0,0.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,-2.0,0.0,0.0,4.0,0.0,-1.0,-1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,1.0,-1.0,1.0,-1.0,3.0
11,3.0,5.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,-1.0,0.0,-2.0,1.0,1.0,5.0,1.0,0.0,4.0,0.0,6.0,1.0,3.0,2.0,2.0,1.0,-1.0,-1.0,1.0,0.0
12,0.0,2.0,-1.0,1.0,1.0,0.0,1.0,6.0,-1.0,-1.0,1.0,-1.0,0.0,-2.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,5.0,-1.0,0.0,0.0,-1.0,0.0,-2.0,7.0
13,-1.0,-1.0,1.0,2.0,1.0,-4.0,2.0,1.0,2.0,1.0,-3.0,1.0,0.0,-1.0,2.0,3.0,-2.0,0.0,4.0,1.0,6.0,0.0,4.0,5.0,0.0,2.0,-1.0,0.0,2.0,0.0
14,2.0,-1.0,1.0,1.0,1.0,0.0,-2.0,4.0,-3.0,-1.0,-3.0,-1.0,-1.0,2.0,-2.0,0.0,2.0,3.0,2.0,-1.0,3.0,0.0,4.0,3.0,-2.0,-1.0,-3.0,0.0,-1.0,5.0
15,4.0,3.0,2.0,3.0,0.0,-1.0,4.0,0.0,1.0,-2.0,-1.0,1.0,-2.0,-2.0,1.0,-1.0,3.0,0.0,1.0,1.0,7.0,2.0,3.0,0.0,1.0,0.0,1.0,-1.0,0.0,2.0
16,3.0,3.0,0.0,0.0,1.0,1.0,-2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,0.0,6.0,-2.0,6.0,3.0,-3.0,1.0,1.0,2.0,0.0,5.0
17,-2.0,3.0,-1.0,0.0,1.0,1.0,1.0,3.0,0.0,-1.0,3.0,1.0,2.0,0.0,3.0,1.0,1.0,-1.0,-1.0,1.0,3.0,0.0,5.0,6.0,1.0,-1.0,0.0,0.0,1.0,3.0
18,4.0,5.0,-1.0,1.0,-1.0,0.0,-1.0,5.0,-1.0,3.0,0.0,4.0,0.0,1.0,1.0,5.0,3.0,2.0,3.0,-1.0,3.0,2.0,5.0,0.0,-1.0,4.0,-1.0,0.0,3.0,2.0
19,3.0,10.0,0.0,0.0,2.0,-1.0,0.0,3.0,0.0,-4.0,0.0,0.0,2.0,0.0,5.0,0.0,6.0,2.0,3.0,-2.0,5.0,2.0,5.0,0.0,2.0,0.0,0.0,3.0,-1.0,0.0
20,4.0,2.0,-1.0,5.0,0.0,0.0,0.0,7.0,-1.0,-1.0,0.0,-3.0,3.0,0.0,2.0,2.0,5.0,1.0,1.0,-2.0,5.0,4.0,8.0,2.0,1.0,-3.0,-1.0,2.0,1.0,7.0
21,8.0,1.0,2.0,1.0,0.0,-1.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,-1.0,1.0,3.0,5.0,2.0,-1.0,-2.0,3.0,-1.0,0.0,4.0
22,0.0,6.0,-2.0,2.0,2.0,-2.0,0.0,3.0,0.0,-2.0,1.0,3.0,3.0,0.0,3.0,2.0,3.0,2.0,4.0,0.0,4.0,1.0,10.0,3.0,-1.0,-2.0,2.0,0.0,0.0,3.0
23,0.0,2.0,1.0,1.0,2.0,-2.0,1.0,7.0,-1.0,0.0,0.0,2.0,3.0,-1.0,3.0,0.0,5.0,1.0,2.0,1.0,2.0,2.0,6.0,1.0,2.0,0.0,-1.0,-1.0,0.0,1.0
24,3.0,2.0,-1.0,3.0,3.0,4.0,6.0,8.0,1.0,0.0,2.0,4.0,8.0,0.0,0.0,6.0,3.0,2.0,3.0,0.0,9.0,5.0,6.0,1.0,3.0,-1.0,2.0,-1.0,0.0,4.0
25,5.0,6.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,3.0,5.0,4.0,9.0,0.0,3.0,0.0,9.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0
26,3.0,5.0,-1.0,4.0,1.0,2.0,2.0,2.0,1.0,0.0,5.0,2.0,1.0,-2.0,3.0,6.0,4.0,1.0,1.0,0.0,0.0,2.0,9.0,11.0,-3.0,-4.0,4.0,0.0,0.0,6.0
27,2.0,5.0,2.0,2.0,2.0,0.0,4.0,0.0,2.0,2.0,2.0,2.0,3.0,0.0,3.0,2.0,3.0,0.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,-1.0,0.0,6.0
28,1.0,7.0,-1.0,1.0,1.0,1.0,5.0,3.0,0.0,0.0,0.0,5.0,0.0,-1.0,-1.0,1.0,3.0,0.0,3.0,0.0,3.0,-1.0,4.0,0.0,7.0,1.0,-1.0,0.0,-2.0,1.0
29,6.0,4.0,0.0,5.0,0.0,0.0,6.0,6.0,-1.0,0.0,0.0,3.0,5.0,0.0,5.0,3.0,2.0,0.0,3.0,1.0,5.0,7.0,4.0,1.0,1.0,1.0,-3.0,0.0,0.0,2.0
30,-1.0,7.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,2.0,-2.0,0.0,4.0,-1.0,-1.0,2.0,4.0,0.0,8.0,0.0,5.0,2.0,6.0,4.0,0.0,2.0,3.0,2.0,1.0,2.0
31,5.0,3.0,1.0,5.0,0.0,-1.0,8.0,7.0,0.0,-2.0,1.0,6.0,3.0,-2.0,2.0,-1.0,1.0,1.0,1.0,5.0,5.0,-1.0,17.0,1.0,0.0,3.0,0.0,1.0,1.0,6.0
32,6.0,5.0,-2.0,2.0,-1.0,1.0,2.0,2.0,0.0,1.0,1.0,4.0,2.0,0.0,-1.0,8.0,5.0,3.0,4.0,0.0,3.0,2.0,9.0,5.0,-1.0,0.0,-1.0,3.0,0.0,1.0
33,3.0,9.0,1.0,0.0,4.0,-1.0,6.0,3.0,-1.0,-1.0,2.0,4.0,2.0,2.0,0.0,1.0,2.0,2.0,3.0,0.0,9.0,4.0,3.0,1.0,3.0,0.0,-1.0,0.0,0.0,5.0
34,5.0,3.0,0.0,1.0,1.0,-1.0,2.0,2.0,2.0,2.0,-1.0,4.0,4.0,0.0,2.0,-2.0,2.0,5.0,3.0,0.0,4.0,1.0,6.0,3.0,-1.0,0.0,3.0,5.0,0.0,5.0
35,7.0,9.0,-2.0,1.0,3.0,1.0,7.0,5.0,0.0,2.0,3.0,5.0,4.0,0.0,0.0,3.0,2.0,6.0,2.0,0.0,2.0,6.0,3.0,7.0,4.0,0.0,2.0,1.0,1.0,2.0
36,11.0,4.0,3.0,2.0,1.0,0.0,6.0,7.0,0.0,0.0,-1.0,1.0,7.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,6.0,8.0,9.0,8.0,-1.0,1.0,3.0,3.0,1.0,5.0
37,7.0,7.0,2.0,2.0,1.0,-1.0,4.0,10.0,0.0,3.0,4.0,3.0,6.0,2.0,0.0,6.0,5.0,3.0,6.0,1.0,9.0,11.0,0.0,3.0,0.0,0.0,1.0,0.0,-4.0,6.0
38,3.0,5.0,0.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,-1.0,7.0,3.0,0.0,0.0,-1.0,3.0,4.0,4.0,3.0,1.0,3.0,-1.0,3.0,2.0,9.0
39,5.0,3.0,1.0,2.0,1.0,0.0,6.0,1.0,2.0,0.0,1.0,3.0,6.0,-1.0,1.0,3.0,1.0,0.0,3.0,0.0,5.0,5.0,8.0,2.0,5.0,-2.0,4.0,0.0,1.0,4.0
40,2.0,5.0,1.0,5.0,0.0,0.0,8.0,-1.0,2.0,2.0,1.0,1.0,4.0,-1.0,0.0,11.0,5.0,3.0,4.0,0.0,4.0,7.0,-1.0,2.0,-1.0,1.0,1.0,4.0,1.0,-1.0
41,2.0,7.0,1.0,4.0,1.0,-1.0,3.0,6.0,2.0,1.0,-1.0,4.0,3.0,0.0,2.0,10.0,3.0,4.0,2.0,-1.0,12.0,8.0,9.0,7.0,4.0,3.0,1.0,4.0,0.0,4.0
42,6.0,6.0,0.0,7.0,2.0,0.0,7.0,4.0,2.0,1.0,5.0,3.0,7.0,-1.0,4.0,2.0,0.0,5.0,6.0,0.0,13.0,2.0,6.0,8.0,-2.0,1.0,2.0,0.0,-2.0,6.0
43,4.0,5.0,2.0,1.0,1.0,-1.0,8.0,4.0,-1.0,1.0,1.0,7.0,0.0,0.0,6.0,4.0,2.0,3.0,1.0,0.0,8.0,1.0,9.0,1.0,6.0,-1.0,5.0,1.0,2.0,5.0
44,1.0,8.0,7.0,2.0,3.0,2.0,6.0,4.0,4.0,3.0,2.0,6.0,3.0,0.0,2.0,0.0,3.0,0.0,5.0,-3.0,3.0,8.0,5.0,4.0,0.0,0.0,1.0,2.0,-3.0,4.0
45,3.0,5.0,0.0,7.0,1.0,-4.0,5.0,7.0,1.0,2.0,4.0,8.0,4.0,1.0,4.0,9.0,5.0,2.0,1.0,0.0,9.0,5.0,6.0,4.0,0.0,1.0,3.0,6.0,-1.0,13.0
46,8.0,2.0,-1.0,0.0,2.0,4.0,7.0,4.0,0.0,2.0,1.0,3.0,4.0,0.0,3.0,7.0,5.0,1.0,2.0,1.0,7.0,10.0,13.0,1.0,9.0,5.0,6.0,4.0,-1.0,2.0
47,0.0,2.0,1.0,-1.0,-1.0,0.0,3.0,0.0,3.0,1.0,5.0,7.0,9.0,0.0,4.0,0.0,4.0,1.0,2.0,0.0,9.0,4.0,1.0,11.0,6.0,1.0,0.0,3.0,-1.0,11.0
48,8.0,4.0,-2.0,2.0,0.0,0.0,4.0,6.0,0.0,3.0,3.0,5.0,7.0,2.0,1.0,3.0,6.0,2.0,5.0,0.0,7.0,12.0,11.0,6.0,5.0,0.0,3.0,3.0,3.0,1.0
49,6.0,2.0,1.0,7.0,1.0,0.0,6.0,2.0,1.0,3.0,0.0,8.0,5.0,2.0,-3.0,2.0,2.0,2.0,1.0,2.0,11.0,2.0,10.0,3.0,0.0,0.0,4.0,2.0,2.0,8.0
50,5.0,3.0,1.0,1.0,4.0,2.0,6.0,4.0,2.0,-3.0,2.0,4.0,1.0,-1.0,5.0,0.0,7.0,4.0,5.0,0.0,10.0,7.0,8.0,5.0,4.0,5.0,3.0,3.0,5.0,2.0
51,3.0,5.0,0.0,4.0,8.0,-1.0,7.0,3.0,1.0,0.0,2.0,3.0,5.0,-1.0,5.0,7.0,1.0,2.0,0.0,0.0,7.0,2.0,4.0,3.0,0.0,2.0,4.0,2.0,3.0,5.0
52,2.0,2.0,-3.0,5.0,1.0,1.0,2.0,4.0,4.0,4.0,3.0,10.0,5.0,1.0,0.0,0.0,2.0,1.0,6.0,1.0,14.0,8.0,1.0,3.0,4.0,11.0,5.0,3.0,1.0,9.0
53,3.0,1.0,-1.0,9.0,2.0,-1.0,13.0,0.0,6.0,0.0,3.0,2.0,3.0,-2.0,7.0,5.0,7.0,1.0,6.0,0.0,6.0,0.0,1.0,11.0,2.0,3.0,1.0,0.0,3.0,2.0
54,8.0,3.0,5.0,2.0,5.0,3.0,4.0,6.0,3.0,3.0,3.0,8.0,0.0,1.0,2.0,6.0,1.0,2.0,9.0,1.0,8.0,12.0,12.0,4.0,-1.0,6.0,0.0,4.0,0.0,4.0
55,2.0,6.0,-2.0,12.0,13.0,0.0,1.0,9.0,2.0,-1.0,2.0,4.0,2.0,-1.0,1.0,4.0,3.0,7.0,7.0,1.0,9.0,1.0,3.0,3.0,10.0,1.0,7.0,4.0,5.0,0.0
