,0,1,2,3,4,5,6,7,8,9,10
0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,1.0,0.0,-1.0
1,-1.0,0.0,3.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.0,1.0,1.0,-1.0,0.0,1.0,1.0,0.0,-1.0,3.0,1.0
3,1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0
4,1.0,-2.0,1.0,-1.0,3.0,1.0,0.0,2.0,-1.0,0.0,0.0
5,1.0,1.0,2.0,1.0,-1.0,1.0,0.0,0.0,-4.0,0.0,0.0
6,3.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,-1.0,0.0,0.0
7,-4.0,1.0,0.0,-1.0,0.0,0.0,-1.0,2.0,0.0,3.0,0.0
8,-2.0,4.0,-1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0
9,-3.0,2.0,-1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0
10,0.0,-2.0,0.0,-1.0,2.0,0.0,1.0,1.0,1.0,0.0,-1.0
11,0.0,3.0,-1.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,-1.0
12,1.0,0.0,-3.0,0.0,4.0,1.0,1.0,-1.0,1.0,0.0,2.0
13,-1.0,4.0,2.0,1.0,1.0,1.0,0.0,-3.0,0.0,1.0,-1.0
14,-1.0,4.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0
15,2.0,0.0,0.0,-1.0,1.0,-2.0,-1.0,0.0,1.0,-3.0,-1.0
16,5.0,2.0,1.0,1.0,1.0,2.0,1.0,-1.0,1.0,-1.0,0.0
17,5.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,-2.0
18,3.0,0.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,-1.0,0.0
19,3.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,-1.0,0.0,-1.0
20,3.0,3.0,3.0,2.0,-1.0,0.0,0.0,0.0,3.0,0.0,-1.0
21,5.0,2.0,2.0,2.0,2.0,4.0,2.0,-1.0,3.0,1.0,-1.0
22,1.0,0.0,2.0,3.0,3.0,3.0,1.0,-1.0,1.0,1.0,0.0
23,-1.0,-1.0,5.0,2.0,1.0,-1.0,10.0,0.0,3.0,3.0,0.0
24,0.0,-2.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,0.0,3.0
25,1.0,0.0,6.0,2.0,4.0,2.0,-1.0,0.0,4.0,-1.0,0.0
26,2.0,-4.0,0.0,2.0,8.0,5.0,2.0,0.0,2.0,1.0,-2.0
27,3.0,0.0,0.0,1.0,-1.0,3.0,0.0,2.0,3.0,1.0,1.0
28,5.0,1.0,0.0,1.0,5.0,0.0,0.0,-2.0,5.0,0.0,0.0
29,5.0,3.0,1.0,-2.0,2.0,1.0,2.0,-1.0,2.0,-4.0,-1.0
30,3.0,0.0,-1.0,1.0,0.0,3.0,0.0,-1.0,2.0,1.0,0.0
31,4.0,5.0,1.0,3.0,7.0,3.0,3.0,-1.0,6.0,3.0,-1.0
32,3.0,-1.0,5.0,1.0,8.0,-1.0,3.0,0.0,7.0,1.0,2.0
33,2.0,2.0,-1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,-1.0
34,4.0,4.0,-1.0,6.0,2.0,3.0,1.0,1.0,5.0,-1.0,1.0
35,1.0,6.0,2.0,2.0,2.0,-1.0,4.0,0.0,2.0,5.0,0.0
36,4.0,6.0,2.0,0.0,7.0,0.0,2.0,-1.0,0.0,1.0,0.0
37,5.0,4.0,3.0,7.0,1.0,1.0,4.0,-1.0,8.0,1.0,2.0
38,4.0,0.0,-1.0,10.0,4.0,-1.0,5.0,0.0,4.0,2.0,2.0
39,4.0,1.0,2.0,4.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0
40,2.0,1.0,7.0,8.0,5.0,-1.0,3.0,-1.0,7.0,-1.0,1.0
41,4.0,2.0,5.0,8.0,5.0,0.0,0.0,1.0,4.0,1.0,2.0
42,9.0,2.0,-1.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0
43,0.0,2.0,3.0,0.0,9.0,2.0,4.0,-2.0,6.0,0.0,2.0
44,2.0,4.0,-1.0,4.0,5.0,7.0,3.0,0.0,8.0,-1.0,0.0
45,7.0,3.0,6.0,5.0,1.0,0.0,3.0,-1.0,9.0,-3.0,4.0
46,5.0,4.0,0.0,8.0,10.0,3.0,1.0,0.0,8.0,2.0,-2.0
47,7.0,4.0,4.0,3.0,0.0,1.0,3.0,0.0,4.0,1.0,0.0
48,7.0,4.0,4.0,9.0,1.0,4.0,2.0,-1.0,10.0,0.0,0.0
49,8.0,4.0,6.0,5.0,4.0,3.0,0.0,-1.0,3.0,2.0,1.0
50,6.0,2.0,0.0,7.0,4.0,2.0,4.0,-3.0,10.0,8.0,1.0
51,8.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,10.0,1.0,3.0
52,5.0,9.0,6.0,4.0,5.0,6.0,-1.0,1.0,4.0,2.0,2.0
53,1.0,5.0,4.0,8.0,5.0,3.0,0.0,2.0,9.0,3.0,3.0
54,6.0,1.0,6.0,9.0,2.0,0.0,2.0,-1.0,1.0,7.0,6.0
